Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
262.8	-0.4479626	-17.8979	96.0625	NaN	NaN	NaN	NaN
262.801	-0.4479626	-17.8979	95.875	NaN	NaN	NaN	NaN
262.802	-0.4479626	-17.8979	95.8125	NaN	NaN	NaN	NaN
262.803	-0.4479626	-17.8979	95.6875	NaN	NaN	NaN	NaN
262.804	-0.4479626	-17.8979	95.625	NaN	NaN	NaN	NaN
262.805	-0.4479626	-17.8979	95.71875	NaN	NaN	NaN	NaN
262.806	-0.4479626	2.840757	95.5	NaN	NaN	NaN	NaN
262.807	-0.4479626	19.60206	95.75	NaN	NaN	NaN	NaN
262.808	-0.4479626	33.80692	95.71875	NaN	NaN	NaN	NaN
262.809	-0.4479626	51.13631	95.6875	NaN	NaN	NaN	NaN
262.81	-0.4479626	55.96608	95.875	NaN	NaN	NaN	NaN
262.811	-0.4479626	72.72774	95.84375	NaN	NaN	NaN	NaN
262.812	-0.4479626	87.21585	95.9375	NaN	NaN	NaN	NaN
262.813	-0.4479626	102.8408	95.96875	NaN	NaN	NaN	NaN
262.814	-0.4479626	126.7047	96.21875	NaN	NaN	NaN	NaN
262.815	-0.4479626	143.466	96.125	NaN	NaN	NaN	NaN
262.816	-0.4479626	163.3526	96.375	NaN	NaN	NaN	NaN
262.817	-0.4479626	177.5567	96.71875	NaN	NaN	NaN	NaN
262.818	-0.4477813	192.046	96.6875	NaN	NaN	NaN	NaN
262.819	-0.4477813	200.5682	97.09375	NaN	NaN	NaN	NaN
