Adjusted Timestamp,Systolic (mmHg),Diastolic (mmHg),MAP (mmHg),HeartRate (bpm),Respiration (Bpm),AS,SQE
0,110,74,86,77,0,0,0
500,110,74,85,77,0,0,4
1000,110,74,85,77,0,0,9
1500,110,74,85,77,0,0,14
2000,110,74,85,77,0,0,18
2500,110,74,85,77,0,0,23
3000,110,74,85,77,1,0,28
3500,110,74,85,77,1,1,33
4000,110,74,85,77,1,1,37
4500,110,74,85,77,1,1,42
5000,110,74,85,77,1,1,47
5500,110,74,85,77,2,1,52
6000,110,74,85,77,2,1,56
6500,110,74,85,77,2,2,61
7000,110,74,85,77,2,2,66
7500,110,74,85,77,2,2,70
8000,110,74,85,77,3,2,75
8500,110,74,85,77,3,2,80
9000,110,74,85,77,3,2,85
9500,110,74,85,77,3,3,89
10000,110,74,85,77,3,3,94
10500,110,74,85,77,4,3,99
11000,110,74,85,77,4,3,104
11500,110,74,85,77,4,3,108
12000,110,74,85,77,4,3,113
12500,110,74,85,77,4,4,118
13000,110,74,85,77,5,4,123
13500,110,74,85,77,5,4,127
14000,110,74,85,77,5,4,132
14500,110,74,85,77,5,4,137
15000,110,74,85,77,5,4,141
15500,110,74,85,77,6,5,146
16000,110,74,85,77,6,5,151
16500,110,74,85,77,6,5,156
17000,110,74,85,77,6,5,160
17500,110,74,85,77,6,5,165
18000,110,74,85,77,7,5,170
18500,110,74,85,77,7,6,175
19000,110,74,85,77,7,6,179
19500,110,74,85,77,7,6,184
20000,110,74,85,77,7,6,189
20500,110,74,85,77,8,6,194
21000,110,74,85,77,8,6,198
21500,110,74,85,77,8,7,203
22000,110,74,85,77,8,7,208
22500,110,74,85,77,8,7,212
23000,110,74,85,77,9,7,217
23500,110,74,85,77,9,7,222
24000,110,74,85,77,9,7,227
24500,110,74,85,77,9,8,231
25000,110,74,85,77,9,8,236
25500,110,74,85,77,10,8,241
26000,110,74,85,77,10,8,246
26500,110,74,85,77,10,8,250
27000,110,74,85,77,10,8,255
27500,110,74,85,77,10,8,260
28000,110,74,85,77,11,9,264
28500,110,74,85,77,11,9,269
29000,110,74,85,77,11,9,274
29500,110,74,85,77,11,9,279
30000,110,74,85,77,11,9,283
30500,110,74,85,77,12,9,288
31000,110,74,85,77,12,10,293
31500,110,74,85,77,12,10,298
32000,110,74,85,77,12,10,302
32500,110,74,85,77,12,10,307
33000,110,74,85,77,13,10,312
33500,110,74,85,77,13,10,317
34000,110,74,85,77,13,11,321
34500,110,74,85,77,13,11,326
35000,110,74,85,77,13,11,331
35500,110,74,85,77,14,11,335
36000,110,74,85,77,14,11,340
36500,110,74,85,77,14,11,345
37000,110,74,85,77,14,12,350
37500,110,74,85,77,14,12,354
38000,110,74,85,77,15,12,359
38500,110,74,85,77,15,12,364
39000,110,74,85,77,15,12,369
39500,110,74,85,77,15,12,373
40000,110,74,85,77,15,13,378
40500,110,74,85,77,16,13,383
41000,110,74,85,77,16,13,388
41500,110,74,85,77,16,13,392
42000,110,74,85,77,16,13,397
42500,110,74,85,77,16,13,402
